#,xzqmc,date,sfyd_zs,sfyd_mj,gkczyd_zs,gkczyd_mj,zzyd_zs,zzyd_mj,ggglyggfwyd_zs,ggglyggfwyd_mj,tsyd_zs,tsyd_mj,jtysyd_zs,jtysyd_mj,syjslssyd_zs,syjslssyd_mj,qttd_zs,qttd_mj
158,贵州省,2016-01-01,76,189.2700,45,120.8300,196,339.2000,45,136.8300,2,35.4100,4,19.6600,0,0.0000,5,31.5700
159,贵州省,2016-02-01,82,160.9700,37,111.0200,168,169.2700,30,70.2000,2,16.9500,5,4.4700,1,0.3300,0,0.0000
160,贵州省,2016-03-01,59,80.9200,40,173.0500,253,198.3600,30,46.3500,1,6.6100,2,10.0700,3,4.2400,8,31.1800
161,贵州省,2016-04-01,36,87.9400,49,197.7700,223,264.1900,48,107.4300,2,10.1000,4,49.1600,4,326.5200,81,219.1900
162,贵州省,2016-05-01,115,174.8100,94,337.2700,170,340.2600,50,239.2900,1,1.5500,10,53.0100,0,0.0000,10,235.4600
163,贵州省,2016-06-01,101,365.1300,93,282.4800,133,256.8400,44,93.8800,1,2.5400,10,81.9100,2,52.3300,0,0.0000
164,贵州省,2016-07-01,44,51.5700,62,187.8500,191,263.9000,166,488.1500,0,0.0000,12,580.7100,2,79.7300,1,5.0800
165,贵州省,2016-08-01,74,201.8200,65,179.4500,153,209.4800,47,161.8600,0,0.0000,1,0.4900,2,0.9600,0,0.0000
166,贵州省,2016-09-01,61,108.0200,34,192.2600,87,149.5100,51,128.9800,1,2.2600,15,330.6300,1,1.8200,1,6.3900
167,贵州省,2016-10-01,104,215.1500,59,247.3600,264,345.9300,55,118.9600,2,1.0300,21,107.3400,8,21.7200,42,274.1100
168,贵州省,2016-11-01,155,349.8300,140,539.1300,494,734.6300,213,778.9800,3,7.3600,77,867.0100,2,11.8400,23,210.5800
169,贵州省,2016-12-01,104,216.8700,140,613.3800,321,432.6700,388,1662.6900,7,51.4200,77,1554.4600,5,70.3800,146,760.3700
170,海南省,2015-01-01,3,15.2995,7,17.4838,27,26.8379,8,4.1019,0,0.0000,0,0.0000,0,0.0000,0,0.0000
171,海南省,2015-02-01,7,17.5902,2,1.2943,15,46.6137,2,24.2973,0,0.0000,0,0.0000,0,0.0000,0,0.0000
172,海南省,2015-03-01,5,9.3411,3,3.6533,10,22.3855,5,4.3138,0,0.0000,8,356.9280,0,0.0000,0,0.0000
173,海南省,2015-04-01,5,12.5952,2,12.1421,21,30.3381,7,2.8915,1,1.3976,35,165.4582,0,0.0000,0,0.0000
174,海南省,2015-05-01,13,50.1338,10,37.7576,22,53.9591,7,20.9986,0,0.0000,9,133.8689,0,0.0000,0,0.0000
175,海南省,2015-06-01,9,36.0779,2,15.3036,10,33.2975,13,63.4525,0,0.0000,1,1.6065,0,0.0000,0,0.0000
176,海南省,2015-07-01,12,10.0027,0,0.0000,6,11.4587,6,2.0146,4,54.9393,2,29.6840,0,0.0000,0,0.0000
177,海南省,2015-08-01,25,87.7686,6,38.7693,21,85.8084,22,61.7474,0,0.0000,2,18.5661,0,0.0000,0,0.0000
178,海南省,2015-09-01,22,118.0871,2,11.8237,43,90.7433,15,31.7879,0,0.0000,4,30.3775,0,0.0000,0,0.0000
179,海南省,2015-10-01,25,132.7225,6,32.1821,26,121.5136,10,46.5877,0,0.0000,2,10.0904,0,0.0000,0,0.0000
180,海南省,2015-11-01,49,89.1428,11,59.2958,56,193.7693,19,29.9087,0,0.0000,2,23.8657,0,0.0000,0,0.0000
181,海南省,2015-12-01,30,106.3038,14,45.0929,39,132.2524,19,160.7908,1,6.6668,3,75.0954,1,0.2301,2,0.7938
182,海南省,2016-01-01,12,62.7300,4,25.5800,13,29.7200,8,18.1000,1,6.6700,1,0.5100,0,0.0000,0,0.0000
183,海南省,2016-02-01,8,11.1800,1,17.6200,9,24.9400,6,36.5900,1,21.0000,2,41.1900,0,0.0000,0,0.0000
184,海南省,2016-03-01,10,15.1400,2,2.1300,30,127.1300,22,46.9700,2,4.0100,16,315.3900,1,13.1300,1,15.0500
185,海南省,2016-04-01,5,19.8200,4,9.5900,11,12.7900,17,63.0200,1,2.1900,5,264.4200,0,0.0000,0,0.0000
186,海南省,2016-05-01,13,12.7900,4,8.2100,9,26.3500,7,13.3700,0,0.0000,50,355.7800,0,0.0000,0,0.0000
187,海南省,2016-06-01,6,20.0700,4,43.5900,5,5.0700,20,42.5700,2,4.8200,4,493.2000,0,0.0000,0,0.0000
