#,pxzqmc,sxzqmc,date,sfyd_zs,sfyd_mj,gkczyd_zs,gkczyd_mj,zzyd_zs,zzyd_mj,ggglyggfwyd_zs,ggglyggfwyd_mj,tsyd_zs,tsyd_mj,jtysyd_zs,jtysyd_mj,syjslssyd_zs,syjslssyd_mj,qttd_zs,qttd_mj
154,安徽省,阜阳市,2015-10-01,5,38.1700,21,62.9900,18,80.7900,3,1.3100,0,0.0000,2,1.4800,0,0.0000,0,0.0000
155,安徽省,阜阳市,2015-11-01,14,58.6300,15,82.8600,28,164.4800,25,72.9700,0,0.0000,13,61.5700,0,0.0000,0,0.0000
156,安徽省,阜阳市,2015-12-01,7,45.3400,25,52.2700,12,61.2100,11,52.0900,0,0.0000,0,0.0000,0,0.0000,4,78.2300
157,安徽省,阜阳市,2016-01-01,2,27.2700,6,15.9300,5,24.4700,6,30.7000,1,1.4400,9,117.9200,0,0.0000,0,0.0000
158,安徽省,阜阳市,2016-02-01,5,19.4800,10,91.8500,11,46.7600,15,41.2800,1,5.2500,9,84.5500,0,0.0000,0,0.0000
159,安徽省,阜阳市,2016-03-01,3,6.9500,18,53.6100,7,23.1500,12,37.4800,1,2.0000,12,93.0500,0,0.0000,0,0.0000
160,安徽省,阜阳市,2016-04-01,2,9.0300,5,28.8800,19,107.6200,8,29.2200,1,0.9500,1,0.3300,0,0.0000,0,0.0000
161,安徽省,阜阳市,2016-05-01,6,25.7100,25,74.2400,8,29.2300,16,67.0200,1,3.0000,12,58.4000,0,0.0000,0,0.0000
162,安徽省,阜阳市,2016-06-01,1,0.7700,9,25.6600,15,83.3200,3,3651.3900,0,0.0000,4,22.7400,0,0.0000,0,0.0000
163,安徽省,阜阳市,2016-07-01,4,3.2900,21,110.8700,14,47.8400,10,21.8800,0,0.0000,1,28.5200,0,0.0000,0,0.0000
164,安徽省,阜阳市,2016-08-01,3,36.5000,17,81.8700,9,49.8600,3,4.5900,0,0.0000,4,36.1300,1,0.4400,0,0.0000
165,安徽省,阜阳市,2016-09-01,5,13.6100,21,79.1300,9,71.1900,19,57.1100,0,0.0000,29,59.6800,0,0.0000,5,62.7800
166,安徽省,阜阳市,2016-10-01,1,0.1400,9,47.6500,8,33.0000,2,15.6200,0,0.0000,9,99.4200,0,0.0000,0,0.0000
167,安徽省,阜阳市,2016-11-01,9,18.1300,18,58.0700,65,271.2600,17,61.6200,3,6.9500,18,203.6300,0,0.0000,0,0.0000
168,安徽省,阜阳市,2016-12-01,9,18.1300,18,58.0700,65,271.2600,17,61.6200,3,6.9500,18,203.6300,0,0.0000,0,0.0000
169,安徽省,合肥市,2015-01-01,2,0.0000,4,40.8700,13,41.5400,23,168.8300,0,0.0000,15,80.7600,1,1.2400,0,0.0000
170,安徽省,合肥市,2015-02-01,1,0.0100,14,44.9300,8,19.7200,5,10.3300,0,0.0000,14,46.4100,0,0.0000,0,0.0000
171,安徽省,合肥市,2015-03-01,7,27.0300,3,12.8200,4,10.4200,23,128.9400,0,0.0000,7,54.0700,0,0.0000,0,0.0000
172,安徽省,合肥市,2015-04-01,13,63.8500,30,56.0300,18,116.1400,26,177.2400,0,0.0000,15,89.5100,0,0.0000,0,0.0000
173,安徽省,合肥市,2015-05-01,10,52.9600,14,51.9500,12,39.8100,11,35.3300,0,0.0000,12,49.2400,3,35.9200,0,0.0000
